id,kab_id,sektor_id,tahun,rn,rin,rij,mij,cij,kategori_pertumbuhan,kategori_daya_saing,created_at,updated_at,nij,dij,periode
60,1201,9,2023,0.05007,0.10217,0.07849,5767975380.03230,3146132710.34800,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,5543867289.652,14457975380.032,null
61,1201,10,2023,0.05007,0.07802,0.05072,1818467836.08390,41876404.10350,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,3258123595.8965,5118467836.0839,null
62,1201,11,2023,0.05007,0.05499,0.04475,373873839.85310,-404398813.83450,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:38,2026-07-16 02:01:16,3804398813.8345,3773873839.8531,null
63,1201,12,2023,0.05007,0.03191,0.05446,-2885299204.47120,697214219.51380,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,7952785780.4862,5764700795.5288,null
64,1201,13,2023,0.05007,0.06680,0.08002,365768361.65710,654946011.33770,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,1095053988.6623,2115768361.6572,null
65,1201,14,2023,0.05007,0.01922,0.03476,-16986018995.34800,-8431626833.87710,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:38,2026-07-16 02:01:16,27571626833.877,2153981004.6519,null
66,1201,15,2023,0.05007,0.07376,0.06751,1985934787.34910,1462042688.18260,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,4197957311.8174,7645934787.3491,null
67,1201,16,2023,0.05007,0.06422,0.06375,361751887.22030,349683105.16260,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,1280316894.8374,1991751887.2203,null
68,1201,17,2023,0.05007,0.09474,0.07932,315364366.75500,206498346.59550,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:38,2026-07-16 02:01:16,353501653.4045,875364366.755,null
69,1201,1,2024,0.05029,0.03716,0.02608,-49744135088.71600,-91686177225.86900,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,190426177225.87,48995864911.284,null
70,1201,2,2024,0.05029,0.04022,0.00509,-237493731.17210,-1065910699.53910,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,1185910699.5391,-117493731.1721,null
71,1201,3,2024,0.05029,0.04622,0.04229,-3343172958.50430,-6563456002.70880,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,41263456002.709,31356827041.496,null
72,1201,4,2024,0.05029,0.02671,0.05558,-1010006673.84590,226450544.77250,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,2153549455.2275,1369993326.1542,null
73,1201,5,2024,0.05029,0.02553,0.04440,-223100677.03600,-53140602.32600,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,453140602.326,176899322.964,null
74,1201,6,2024,0.05029,0.06521,0.07156,11674205934.48200,16644101702.70300,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,39365898297.297,67684205934.482,null
75,1201,7,2024,0.05029,0.04444,0.05107,-5630958490.91830,747056354.08680,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,48382943645.913,43499041509.082,null
76,1201,8,2024,0.05029,0.06430,0.02805,2566281116.16870,-4077211785.60370,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,9217211785.6037,7706281116.1687,null
77,1201,9,2024,0.05029,0.12001,0.06901,8324397247.00730,2234503959.62820,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,6005496040.3718,16564397247.007,null
78,1201,10,2024,0.05029,0.07413,0.04739,1629765524.96620,-198537511.76800,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,3438537511.768,4869765524.9662,null
79,1201,11,2024,0.05029,0.03873,0.04283,-918249690.25740,-592264263.33400,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,3992264263.334,2481750309.7426,null
80,1201,12,2024,0.05029,0.05405,0.03612,628535874.40630,-2373084137.35430,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:58:55,2026-07-16 02:09:27,8423084137.3543,6678535874.4063,null
81,1201,13,2024,0.05029,0.05134,0.07409,24600405.85350,562077577.47610,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,1187922422.5239,1774600405.8535,null
82,1201,14,2024,0.05029,0.06084,0.07994,6010664063.73920,16893509012.28200,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,28656490987.718,51560664063.739,null
83,1201,15,2024,0.05029,0.05665,0.05251,568580590.99650,198769821.51180,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,4501230178.4882,5268580590.9965,null
84,1201,16,2024,0.05029,0.05136,0.06029,29130901.30920,272028370.33650,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,1367971629.6635,1669130901.3092,null
85,1201,17,2024,0.05029,0.06539,0.08530,115030923.95680,266766771.39580,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:58:55,2026-07-16 02:09:27,383233228.6042,765030923.9568,null
86,1201,1,2025,0.02952,0.04884,0.04618,75069569865.17000,64731070889.79800,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,114668929110.2,254469569865.17,null
