id,indikator_provinsi_id,indikator_kabupaten_id,tahun,kuadran,created_at,updated_at,kab_id,sektor_id,pertumbuhan_kabupaten,kontribusi_kabupaten,pertumbuhan_provinsi,kontribusi_provinsi
46,80,80,2024,Kuadran IV,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,12,0.03612,0.02147,0.05405,0.04265
47,81,81,2024,Kuadran III,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,13,0.07409,0.00314,0.05134,0.00909
48,82,82,2024,Kuadran I,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,14,0.07994,0.07611,0.06084,0.03084
49,83,83,2024,Kuadran IV,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,15,0.05251,0.01165,0.05665,0.02156
50,84,84,2024,Kuadran III,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,16,0.06029,0.00357,0.05136,0.00944
51,85,85,2024,Kuadran III,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,17,0.0853,0.00102,0.06539,0.0055
52,86,86,2025,Kuadran II,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,1,0.04618,0.48691,0.04884,0.25599
53,87,87,2025,Kuadran III,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,2,0.02869,0.00292,0.01701,0.0122
54,88,88,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,3,0.01878,0.10437,0.03485,0.17179
55,89,89,2025,Kuadran II,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,4,0.00288,0.00543,0.03306,0.00138
56,90,90,2025,Kuadran II,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,5,-0.00106,0.00113,0.06161,0.00098
57,91,91,2025,Kuadran III,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,6,-0.00013,0.10046,-0.00023,0.12244
58,92,92,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,7,0.0397,0.12594,0.06145,0.18919
59,93,93,2025,Kuadran III,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,8,0.0103,0.0228,-0.23213,0.03473
60,94,94,2025,Kuadran III,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,9,0.04614,0.016,0.04374,0.02523
61,95,95,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,10,0.03659,0.00889,0.06522,0.03543
62,96,96,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,11,0.01498,0.01007,0.03101,0.02885
63,97,97,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,12,0.06892,0.02222,0.08642,0.04501
64,98,98,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,13,0.05558,0.00321,0.10445,0.00975
65,99,99,2025,Kuadran I,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,14,-0.00362,0.07345,-0.00596,0.02978
66,100,100,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,15,0.01518,0.01146,0.04163,0.02181
67,101,101,2025,Kuadran III,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,16,0.08426,0.00375,0.0834,0.00994
68,102,102,2025,Kuadran IV,2026-07-15 19:59:18,2026-07-16 02:17:33,1201,17,0.01935,0.00101,0.03362,0.00552
86,35,120,2022,Kuadran II,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,1,0.04801,0.46176,0.05029,0.25931
87,36,121,2022,Kuadran III,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,2,0.04444,0.00082,0.02616,0.01265
88,37,122,2022,Kuadran III,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,3,0.03955,0.02122,0.01982,0.17413
89,38,123,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,4,0.02381,0.00129,0.0481,0.00144
90,39,124,2022,Kuadran I,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,5,0.04531,0.00106,0.02167,0.00099
91,40,125,2022,Kuadran I,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,6,0.04002,0.1346,0.03032,0.1227
92,41,126,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,7,0.04499,0.14171,0.06572,0.18314
93,42,127,2022,Kuadran II,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,8,0.07527,0.04802,0.12963,0.04269
94,43,128,2022,Kuadran II,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,9,0.07134,0.02352,0.07257,0.02223
95,44,129,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,10,0.04826,0.00997,0.07598,0.03262
96,45,130,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,11,0.03172,0.0153,0.03814,0.02899
97,46,131,2022,Kuadran III,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,12,0.04851,0.0205,0.04528,0.04325
98,47,132,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,13,0.06581,0.0029,0.08777,0.00894
99,48,133,2022,Kuadran II,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,14,-0.00878,0.09134,-0.00733,0.03146
100,49,134,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,15,0.04523,0.01738,0.05136,0.02095
101,50,135,2022,Kuadran III,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,16,0.0557,0.00729,0.0483,0.00931
102,51,136,2022,Kuadran IV,2026-07-15 20:11:17,2026-07-16 01:53:07,1202,17,0.07308,0.00133,0.08723,0.0052
103,35,137,2022,Kuadran I,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,1,0.06896,0.4685,0.05029,0.25931
104,36,138,2022,Kuadran II,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,2,0.00063,0.11218,0.02616,0.01265
105,37,139,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,3,0.0438,0.05912,0.01982,0.17413
106,38,140,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,4,0.06215,0.00072,0.0481,0.00144
107,39,141,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,5,0.06542,0.00087,0.02167,0.00099
108,40,142,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,6,0.00665,0.10816,0.03032,0.1227
109,41,143,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,7,0.0599,0.11394,0.06572,0.18314
110,42,144,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,8,0.08839,0.01492,0.12963,0.04269
111,43,145,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,9,0.07421,0.01383,0.07257,0.02223
112,44,146,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,10,0.07959,0.00778,0.07598,0.03262
113,45,147,2022,Kuadran III,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,11,0.05022,0.00853,0.03814,0.02899
114,46,148,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,12,0.0305,0.01941,0.04528,0.04325
115,47,149,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,13,0.02917,0.00047,0.08777,0.00894
116,48,150,2022,Kuadran I,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,14,0.0228,0.05588,-0.00733,0.03146
117,49,151,2022,Kuadran IV,2026-07-15 20:11:33,2026-07-16 01:53:21,1203,15,0.04567,0.00771,0.05136,0.02095
