provinsi_id,sektor_id,tahun,nilai
12,1,2021,141601180000
12,2,2021,7069090000
12,3,2021,97928000000
12,4,2021,788920000
12,5,2021,555170000
12,6,2021,68300490000
12,7,2021,98560070000
12,8,2021,21676360000
12,9,2021,11888960000
12,10,2021,17386190000
12,11,2021,16017940000
12,12,2021,23728140000
12,13,2021,4711100000
12,14,2021,18174360000
12,15,2021,11429920000
12,16,2021,5092080000
12,17,2021,2743870000
12,1,2022,148721970000
12,2,2022,7253990000
12,3,2022,99869070000
12,4,2022,826870000
12,5,2022,567200000
12,6,2022,70371230000
12,7,2022,105037720000
12,8,2022,24486300000
12,9,2022,12751770000
12,10,2022,18707240000
12,11,2022,16628860000
12,12,2022,24802620000
12,13,2022,5124580000
12,14,2022,18041140000
12,15,2022,12016960000
12,16,2022,5338020000
12,17,2022,2983210000
12,1,2023,153246710000
12,2,2023,7510210000
12,3,2023,103325910000
12,4,2023,844760000
12,5,2023,583590000
12,6,2023,74870640000
12,7,2023,111126940000
12,8,2023,27673810000
12,9,2023,14054570000
12,10,2023,20166730000
12,11,2023,17543310000
12,12,2023,25593950000
12,13,2023,5466880000
12,14,2023,18387960000
12,15,2023,12903310000
12,16,2023,5680820000
12,17,2023,3265840000
12,1,2024,158940630000
12,2,2024,7812280000
12,3,2024,108101460000
12,4,2024,867320000
12,5,2024,598490000
12,6,2024,79752790000
12,7,2024,116065400000
12,8,2024,29453120000
12,9,2024,15741200000
12,10,2024,21661700000
12,11,2024,18222680000
12,12,2024,26977200000
12,13,2024,5747520000
12,14,2024,19506720000
12,15,2024,13634230000
12,16,2024,5972610000
12,17,2024,3479390000
12,1,2025,166702950000
12,2,2025,7945150000
12,3,2025,111869000000
12,4,2025,895990000
12,5,2025,635360000
12,6,2025,79734180000
12,7,2025,123197780000
12,8,2025,22616040000
12,9,2025,16429690000
12,10,2025,23074360000
12,11,2025,18787780000
12,12,2025,29308680000
12,13,2025,6347860000
12,14,2025,19390420000
12,15,2025,14201830000
12,16,2025,6470750000
12,17,2025,3596360000
