tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,pertumbuhan,kontribusi
provinsi,21,,1,2025,3.49,2.64
provinsi,21,,2,2025,16.01,10.67
provinsi,21,,3,2025,7.52,41.96
provinsi,21,,4,2025,10.37,1.09
provinsi,21,,5,2025,11.7,0.13
provinsi,21,,6,2025,5.3,19.14
provinsi,21,,7,2025,7.55,8.29
provinsi,21,,8,2025,7.18,1.96
provinsi,21,,9,2025,2.87,2.15
provinsi,21,,10,2025,-2.65,3.34
provinsi,21,,11,2025,4.11,2.72
provinsi,21,,12,2025,5.71,1.23
provinsi,21,,13,2025,16.81,0
provinsi,21,,14,2025,-1.46,2.26
provinsi,21,,15,2025,5.48,1.14
provinsi,21,,16,2025,2.67,0.98
provinsi,21,,17,2025,1.96,0.3
provinsi,16,,1,2021,0,16.8
provinsi,16,,2,2021,0,22.08
provinsi,16,,3,2021,0,18.56
provinsi,16,,4,2021,0,0.13
provinsi,16,,5,2021,0,0.11
provinsi,16,,6,2021,0,11.24
provinsi,16,,7,2021,0,10.73
provinsi,16,,8,2021,0,1.83
provinsi,16,,9,2021,0,1.4
provinsi,16,,10,2021,0,3.97
provinsi,16,,11,2021,0,2.39
provinsi,16,,12,2021,0,3.31
provinsi,16,,13,2021,0,0.11
provinsi,16,,14,2021,0,3.14
provinsi,16,,15,2021,0,2.64
provinsi,16,,16,2021,0,0.74
provinsi,16,,17,2021,0,0.84
provinsi,16,,1,2022,3.82,16.57
provinsi,16,,2,2022,6.28,22.3
provinsi,16,,3,2022,4.52,18.43
provinsi,16,,4,2022,1.46,0.12
provinsi,16,,5,2022,0.66,0.11
provinsi,16,,6,2022,1.27,10.81
provinsi,16,,7,2022,10.27,11.25
provinsi,16,,8,2022,11.63,1.94
provinsi,16,,9,2022,14.67,1.52
provinsi,16,,10,2022,8.12,4.08
provinsi,16,,11,2022,-0.6,2.25
provinsi,16,,12,2022,5.23,3.31
provinsi,16,,13,2022,2.9,0.11
provinsi,16,,14,2022,3.7,3.1
provinsi,16,,15,2022,2.24,2.56
provinsi,16,,16,2022,4.15,0.73
provinsi,16,,17,2022,2.05,0.81
provinsi,16,,1,2023,2.16,16.11
provinsi,16,,2,2023,7.95,22.91
provinsi,16,,3,2023,3.88,18.22
provinsi,16,,4,2023,4.3,0.12
provinsi,16,,5,2023,0.11,0.1
provinsi,16,,6,2023,3.55,10.65
provinsi,16,,7,2023,7.19,11.47
provinsi,16,,8,2023,7.5,1.99
provinsi,16,,9,2023,13.14,1.64
provinsi,16,,10,2023,6.35,4.13
provinsi,16,,11,2023,4.6,2.24
provinsi,16,,12,2023,4.28,3.29
provinsi,16,,13,2023,2.03,0.1
provinsi,16,,14,2023,3.73,3.06
provinsi,16,,15,2023,2.23,2.49
provinsi,16,,16,2023,-0.02,0.69
provinsi,16,,17,2023,1.95,0.79
provinsi,16,,1,2024,2.41,15.71
provinsi,16,,2,2024,3.31,22.53
provinsi,16,,3,2024,4.53,18.13
provinsi,16,,4,2024,8.58,0.13
provinsi,16,,5,2024,2.88,0.1
provinsi,16,,6,2024,5.89,10.74
provinsi,16,,7,2024,7.49,11.74
provinsi,16,,8,2024,3.43,1.96
provinsi,16,,9,2024,9.39,1.71
provinsi,16,,10,2024,8.84,4.28
provinsi,16,,11,2024,7.06,2.29
provinsi,16,,12,2024,8.17,3.38
provinsi,16,,13,2024,5.18,0.1
provinsi,16,,14,2024,9.35,3.18
provinsi,16,,15,2024,6.76,2.54
provinsi,16,,16,2024,7.34,0.71
provinsi,16,,17,2024,4.12,0.78
provinsi,16,,1,2025,5.79,15.77
provinsi,16,,2,2025,3.42,22.12
provinsi,16,,3,2025,4.56,18
provinsi,16,,4,2025,6.88,0.13
provinsi,16,,5,2025,1.15,0.1
provinsi,16,,6,2025,6.03,10.81
provinsi,16,,7,2025,8.48,12.09
provinsi,16,,8,2025,5.03,1.95
provinsi,16,,9,2025,9.66,1.78
provinsi,16,,10,2025,6.1,4.31
provinsi,16,,11,2025,4.47,2.27
provinsi,16,,12,2025,7.79,3.46
provinsi,16,,13,2025,6.11,0.11
provinsi,16,,14,2025,3.4,3.12
provinsi,16,,15,2025,4.28,2.51
provinsi,16,,16,2025,5.79,0.71
provinsi,16,,17,2025,4.11,0.77
provinsi,18,,1,2021,0,27.52
provinsi,18,,2,2021,0,5.18
provinsi,18,,3,2021,0,18.79
provinsi,18,,4,2021,0,0.16
provinsi,18,,5,2021,0,0.11
provinsi,18,,6,2021,0,10.25
provinsi,18,,7,2021,0,12.38
provinsi,18,,8,2021,0,5.05
provinsi,18,,9,2021,0,1.39
provinsi,18,,10,2021,0,5.59
provinsi,18,,11,2021,0,2.11
provinsi,18,,12,2021,0,3.01
provinsi,18,,13,2021,0,0.13
provinsi,18,,14,2021,0,3.29
provinsi,18,,15,2021,0,3.03
provinsi,18,,16,2021,0,1.12
provinsi,18,,17,2021,0,0.87
provinsi,18,,1,2022,1.98,26.92
provinsi,18,,2,2022,-3.73,4.78
provinsi,18,,3,2022,0.38,18.09
provinsi,18,,4,2022,6.26,0.17
provinsi,18,,5,2022,3.72,0.11
provinsi,18,,6,2022,3.86,10.21
provinsi,18,,7,2022,15.42,13.7
provinsi,18,,8,2022,20.31,5.83
provinsi,18,,9,2022,12.61,1.5
provinsi,18,,10,2022,0.48,5.39
provinsi,18,,11,2022,-3.65,1.95
provinsi,18,,12,2022,3.42,2.98
provinsi,18,,13,2022,17.49,0.15
provinsi,18,,14,2022,-1.26,3.12
provinsi,18,,15,2022,2.68,2.98
provinsi,18,,16,2022,-0.1,1.07
provinsi,18,,17,2022,25.45,1.05
provinsi,18,,1,2023,0.55,25.89
provinsi,18,,2,2023,2.96,4.71
provinsi,18,,3,2023,1.43,17.55
provinsi,18,,4,2023,1.36,0.16
provinsi,18,,5,2023,0.51,0.11
provinsi,18,,6,2023,7.02,10.45
provinsi,18,,7,2023,9.77,14.39
