Tahun,Provinsi,Nilai Investasi
2011,Sumatera Utara,665268800000
2011,Sumatera Utara,12473600000
2011,Sumatera Utara,0
2011,Sumatera Utara,20123300000
2011,Sumatera Utara,0
2011,Sumatera Utara,1192500000
2011,Sumatera Utara,460800000
2011,Sumatera Utara,195800000
2011,Sumatera Utara,65000000
2011,Sumatera Utara,7388000000
2011,Sumatera Utara,9372000000
2011,Sumatera Utara,9550000000
2011,Sumatera Utara,0
2011,Sumatera Utara,4500000000
2011,Sumatera Utara,1201900000
2011,Sumatera Utara,0
2011,Sumatera Utara,515800000
2011,Sumatera Utara,0
2011,Sumatera Utara,6000000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,3736200000
2011,Sumatera Utara,1836500000
2011,Sumatera Utara,55471700000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,26191000000
2011,Sumatera Utara,0
2011,Sumatera Utara,7915900000
2011,Sumatera Utara,1300000000
2011,Sumatera Utara,0
2011,Sumatera Utara,157725000000
2011,Sumatera Utara,2100000
2011,Sumatera Utara,2820800000
2011,Sumatera Utara,1452000000
2011,Sumatera Utara,1418181800000
2011,Sumatera Utara,0
2011,Sumatera Utara,1350000000
2011,Sumatera Utara,7108100000
2011,Sumatera Utara,0
2011,Sumatera Utara,22450000000
2011,Sumatera Utara,3746400000
2011,Sumatera Utara,245900000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,141800000
2011,Sumatera Utara,0
2011,Sumatera Utara,6476400000
2011,Sumatera Utara,0
2011,Sumatera Utara,44271000000
2011,Sumatera Utara,0
2011,Sumatera Utara,8500000
2011,Sumatera Utara,22676000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,1715400000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,15900000
2011,Sumatera Utara,90700000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,19242200000
2011,Sumatera Utara,0
