hasil_lq_id,kab_id,sektor_id,tahun,nilai_lq,kategori,created_at,updated_at
230,1201,9,2024,0.63450,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
231,1201,10,2024,0.25870,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
232,1201,11,2024,0.35540,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
233,1201,12,2024,0.50330,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
234,1201,13,2024,0.34540,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
235,1201,14,2024,2.46810,Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
236,1201,15,2024,0.54060,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
237,1201,16,2024,0.37780,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
238,1201,17,2024,0.18600,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
239,1201,1,2025,1.90200,Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
240,1201,2,2025,0.23940,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
241,1201,3,2025,0.60750,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
242,1201,4,2025,3.94680,Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
243,1201,5,2025,1.15420,Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
244,1201,6,2025,0.82050,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
245,1201,7,2025,0.66570,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
246,1201,8,2025,0.65660,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
247,1201,9,2025,0.63410,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
248,1201,10,2025,0.25100,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
249,1201,11,2025,0.34890,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
250,1201,12,2025,0.49370,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
251,1201,13,2025,0.32910,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
252,1201,14,2025,2.46670,Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
253,1201,15,2025,0.52530,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
254,1201,16,2025,0.37700,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
255,1201,17,2025,0.18290,Non Basis,2026-07-15 19:59:06,2026-07-16 02:17:21
273,1202,1,2021,1.77650,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
274,1202,2,2021,0.06330,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
275,1202,3,2021,0.11900,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
276,1202,4,2021,0.91440,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
277,1202,5,2021,1.04210,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
278,1202,6,2021,1.08180,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
279,1202,7,2021,0.78550,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
280,1202,8,2021,1.17620,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
281,1202,9,2021,1.05410,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
282,1202,10,2021,0.31240,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
283,1202,11,2021,0.52840,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
284,1202,12,2021,0.47040,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
285,1202,13,2021,0.32950,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
286,1202,14,2021,2.89460,Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
287,1202,15,2021,0.83070,Non Basis,2026-07-15 20:01:51,2026-07-17 07:54:11
