id,kab_id,sektor_id,tahun,pertumbuhan,kontribusi,created_at,updated_at
120,1202,1,2022,0.04801,0.46176,2026-07-15 20:11:15,2026-07-16 01:53:05
121,1202,2,2022,0.04444,0.00082,2026-07-15 20:11:15,2026-07-16 01:53:05
122,1202,3,2022,0.03955,0.02122,2026-07-15 20:11:15,2026-07-16 01:53:05
123,1202,4,2022,0.02381,0.00129,2026-07-15 20:11:15,2026-07-16 01:53:05
124,1202,5,2022,0.04531,0.00106,2026-07-15 20:11:15,2026-07-16 01:53:05
125,1202,6,2022,0.04002,0.13460,2026-07-15 20:11:15,2026-07-16 01:53:05
126,1202,7,2022,0.04499,0.14171,2026-07-15 20:11:15,2026-07-16 01:53:05
127,1202,8,2022,0.07527,0.04802,2026-07-15 20:11:15,2026-07-16 01:53:05
128,1202,9,2022,0.07134,0.02352,2026-07-15 20:11:15,2026-07-16 01:53:05
129,1202,10,2022,0.04826,0.00997,2026-07-15 20:11:15,2026-07-16 01:53:05
130,1202,11,2022,0.03172,0.01530,2026-07-15 20:11:15,2026-07-16 01:53:05
131,1202,12,2022,0.04851,0.02050,2026-07-15 20:11:15,2026-07-16 01:53:05
132,1202,13,2022,0.06581,0.00290,2026-07-15 20:11:15,2026-07-16 01:53:05
133,1202,14,2022,-0.00878,0.09134,2026-07-15 20:11:15,2026-07-16 01:53:05
134,1202,15,2022,0.04523,0.01738,2026-07-15 20:11:15,2026-07-16 01:53:05
135,1202,16,2022,0.05570,0.00729,2026-07-15 20:11:15,2026-07-16 01:53:05
136,1202,17,2022,0.07308,0.00133,2026-07-15 20:11:15,2026-07-16 01:53:05
137,1203,1,2022,0.06896,0.46850,2026-07-15 20:11:30,2026-07-16 01:53:18
138,1203,2,2022,0.00063,0.11218,2026-07-15 20:11:30,2026-07-16 01:53:18
139,1203,3,2022,0.04380,0.05912,2026-07-15 20:11:30,2026-07-16 01:53:18
140,1203,4,2022,0.06215,0.00072,2026-07-15 20:11:30,2026-07-16 01:53:18
141,1203,5,2022,0.06542,0.00087,2026-07-15 20:11:30,2026-07-16 01:53:18
142,1203,6,2022,0.00665,0.10816,2026-07-15 20:11:30,2026-07-16 01:53:18
143,1203,7,2022,0.05990,0.11394,2026-07-15 20:11:30,2026-07-16 01:53:18
144,1203,8,2022,0.08839,0.01492,2026-07-15 20:11:30,2026-07-16 01:53:18
145,1203,9,2022,0.07421,0.01383,2026-07-15 20:11:30,2026-07-16 01:53:18
146,1203,10,2022,0.07959,0.00778,2026-07-15 20:11:30,2026-07-16 01:53:18
147,1203,11,2022,0.05022,0.00853,2026-07-15 20:11:30,2026-07-16 01:53:18
148,1203,12,2022,0.03050,0.01941,2026-07-15 20:11:30,2026-07-16 01:53:18
149,1203,13,2022,0.02917,0.00047,2026-07-15 20:11:30,2026-07-16 01:53:18
150,1203,14,2022,0.02280,0.05588,2026-07-15 20:11:30,2026-07-16 01:53:18
151,1203,15,2022,0.04567,0.00771,2026-07-15 20:11:30,2026-07-16 01:53:18
