tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,growth_daerah,growth_pembanding,share_daerah,share_pembanding,kuadran,kategori_kuadran
provinsi,19,,3,2024,2025,4.33,5.16,20.15,21.21,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,4,2024,2025,4.62,5.16,0.1,1.07,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,5,2024,2025,2.35,5.16,0.02,0.08,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,6,2024,2025,-1.26,5.16,8.19,10.08,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,7,2024,2025,4.97,5.16,14.36,13.65,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,8,2024,2025,5.51,5.16,4.25,5.04,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,9,2024,2025,9.17,5.16,3.07,3.43,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,10,2024,2025,8.97,5.16,3.72,7.24,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,11,2024,2025,0.81,5.16,1.88,4.16,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,12,2024,2025,3.79,5.16,3.58,2.81,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,13,2024,2025,7.09,5.16,0.27,2.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,14,2024,2025,-0.12,5.16,5.67,3.22,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,15,2024,2025,6.72,5.16,2.99,3.01,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,16,2024,2025,5.53,5.16,1.52,1.48,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,19,,17,2024,2025,9.05,5.16,0.91,2.25,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,1,2021,2022,5.26,4.95,2.95,12.82,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,2,2021,2022,-7,4.95,12.11,7.66,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,3,2021,2022,4.51,4.95,41.74,21.4,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,4,2021,2022,16.38,4.95,1.01,1.09,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,5,2021,2022,8.82,4.95,0.13,0.09,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,6,2021,2022,5,4.95,18.37,10.04,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,7,2021,2022,13.86,4.95,8.14,13.66,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,8,2021,2022,38.37,4.95,1.83,4.35,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,9,2021,2022,49.71,4.95,1.86,3.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,10,2021,2022,8.66,4.95,3.38,6.7,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,11,2021,2022,4.17,4.95,2.65,4.23,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,12,2021,2022,4.64,4.95,1.24,3.03,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,13,2021,2022,15.16,4.95,0,1.91,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,14,2021,2022,3.36,4.95,2.19,3.33,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,15,2021,2022,3.32,4.95,1.19,3.15,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,16,2021,2022,-0.02,4.95,0.99,1.44,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,17,2021,2022,69.97,4.95,0.24,1.96,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,1,2022,2023,1.53,5.05,2.85,12.37,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,2,2022,2023,-2.65,5.05,11.21,7.74,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,3,2022,2023,2.46,5.05,40.67,21.32,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,4,2022,2023,8.03,5.05,1.04,1.09,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,5,2022,2023,4.45,5.05,0.12,0.09,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,6,2022,2023,10.49,5.05,19.3,10.03,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,7,2022,2023,5.87,5.05,8.2,13.64,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,8,2022,2023,14.92,5.05,2,4.72,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,9,2022,2023,27.31,5.05,2.25,3.25,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,10,2022,2023,19.96,5.05,3.85,6.86,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,11,2022,2023,8.65,5.05,2.74,4.22,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,12,2022,2023,5.25,5.05,1.24,2.92,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,13,2022,2023,18.31,5.05,0,1.97,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,14,2022,2023,5.13,5.05,2.19,3.22,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,15,2022,2023,3.87,5.05,1.17,3.05,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,16,2022,2023,-4.82,5.05,0.9,1.44,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,17,2022,2023,21.51,5.05,0.28,2.06,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,1,2023,2024,0.57,5.11,2.72,11.84,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,2,2023,2024,-7.83,5.11,9.84,7.73,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,3,2023,2024,7.77,5.11,41.73,21.18,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,4,2023,2024,7.2,5.11,1.06,1.09,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,5,2023,2024,1.98,5.11,0.12,0.09,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,21,,6,2023,2024,5.75,5.11,19.43,10.21,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,7,2023,2024,5.59,5.11,8.24,13.61,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,8,2023,2024,2.51,5.11,1.95,4.88,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,9,2023,2024,4.21,5.11,2.23,3.36,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,10,2023,2024,-0.06,5.11,3.67,7.02,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,11,2023,2024,7.41,5.11,2.8,4.2,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,12,2023,2024,5.59,5.11,1.25,2.85,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,13,2023,2024,4.99,5.11,0,2.03,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,14,2023,2024,17.86,5.11,2.46,3.26,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,15,2023,2024,3.94,5.11,1.16,3.01,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,16,2023,2024,19.6,5.11,1.02,1.48,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,17,2023,2024,15.95,5.11,0.31,2.16,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,1,2024,2025,3.49,5.16,2.64,11.86,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,2,2024,2025,16.01,5.16,10.67,7.3,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,3,2024,2025,7.52,5.16,41.96,21.21,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,4,2024,2025,10.37,5.16,1.09,1.07,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,5,2024,2025,11.7,5.16,0.13,0.08,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,6,2024,2025,5.3,5.16,19.14,10.08,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,21,,7,2024,2025,7.55,5.16,8.29,13.65,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,8,2024,2025,7.18,5.16,1.96,5.04,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,9,2024,2025,2.87,5.16,2.15,3.43,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,10,2024,2025,-2.65,5.16,3.34,7.24,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,11,2024,2025,4.11,5.16,2.72,4.16,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,12,2024,2025,5.71,5.16,1.23,2.81,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,13,2024,2025,16.81,5.16,0,2.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,14,2024,2025,-1.46,5.16,2.26,3.22,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,15,2024,2025,5.48,5.16,1.14,3.01,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,21,,16,2024,2025,2.67,5.16,0.98,1.48,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,21,,17,2024,2025,1.96,5.16,0.3,2.25,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,1,2021,2022,3.82,4.95,16.57,12.82,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,16,,2,2021,2022,6.28,4.95,22.3,7.66,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,16,,3,2021,2022,4.52,4.95,18.43,21.4,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,4,2021,2022,1.46,4.95,0.12,1.09,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,5,2021,2022,0.66,4.95,0.11,0.09,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,16,,6,2021,2022,1.27,4.95,10.81,10.04,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,16,,7,2021,2022,10.27,4.95,11.25,13.66,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,16,,8,2021,2022,11.63,4.95,1.94,4.35,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,16,,9,2021,2022,14.67,4.95,1.52,3.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,16,,10,2021,2022,8.12,4.95,4.08,6.7,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,16,,11,2021,2022,-0.6,4.95,2.25,4.23,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,12,2021,2022,5.23,4.95,3.31,3.03,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,16,,13,2021,2022,2.9,4.95,0.11,1.91,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,14,2021,2022,3.7,4.95,3.1,3.33,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,15,2021,2022,2.24,4.95,2.56,3.15,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,16,2021,2022,4.15,4.95,0.73,1.44,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,16,,17,2021,2022,2.05,4.95,0.81,1.96,"Kuadran IV","Sektor Relatif Tertinggal"
