tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,growth_daerah,growth_pembanding,share_daerah,share_pembanding,kuadran,kategori_kuadran
kabupaten,16,1608,11,2023,2024,6.4,5.03,0.89,2.29,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1608,12,2023,2024,1.68,5.03,2.99,3.38,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,13,2023,2024,7.86,5.03,0.04,0.1,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1608,14,2023,2024,8.02,5.03,7.97,3.18,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1608,15,2023,2024,10.18,5.03,2.16,2.54,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1608,16,2023,2024,6.23,5.03,1.04,0.71,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1608,17,2023,2024,7.04,5.03,0.91,0.78,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1608,1,2024,2025,6.96,5.35,38.25,15.77,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1608,2,2024,2025,4.75,5.35,2.09,22.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,3,2024,2025,5.08,5.35,7.94,18,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,4,2024,2025,4.67,5.35,0.06,0.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,5,2024,2025,-2.3,5.35,0.01,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,6,2024,2025,4.98,5.35,15.95,10.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1608,7,2024,2025,7,5.35,15.89,12.09,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1608,8,2024,2025,3.5,5.35,1.08,1.95,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,9,2024,2025,11.41,5.35,1.65,1.78,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1608,10,2024,2025,6.09,5.35,1.55,4.31,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1608,11,2024,2025,2.25,5.35,0.86,2.27,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,12,2024,2025,3.19,5.35,2.92,3.46,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,13,2024,2025,1.21,5.35,0.04,0.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,14,2024,2025,3.15,5.35,7.77,3.12,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1608,15,2024,2025,0.38,5.35,2.05,2.51,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1608,16,2024,2025,4.7,5.35,1.03,0.71,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1608,17,2024,2025,1.1,5.35,0.87,0.77,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,1,2021,2022,0.42,5.24,5.42,16.57,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,2,2021,2022,4.27,5.24,1.72,22.3,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,3,2021,2022,6.19,5.24,6.64,18.43,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1673,4,2021,2022,6.07,5.24,0.12,0.12,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,5,2021,2022,5.04,5.24,0.22,0.11,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,6,2021,2022,1.85,5.24,21.83,10.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,7,2021,2022,7.84,5.24,17.9,11.25,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,8,2021,2022,8.69,5.24,6.41,1.94,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,9,2021,2022,13.45,5.24,3.98,1.52,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,10,2021,2022,7.36,5.24,2.11,4.08,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1673,11,2021,2022,0.42,5.24,5.38,2.25,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,12,2021,2022,4.97,5.24,10.01,3.31,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,13,2021,2022,5.01,5.24,1.15,0.11,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,14,2021,2022,0.06,5.24,2.96,3.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,15,2021,2022,0.03,5.24,5.98,2.56,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,16,2021,2022,3.45,5.24,2.44,0.73,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,17,2021,2022,6.63,5.24,5.72,0.81,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,1,2022,2023,0.43,5.08,5.21,16.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,2,2022,2023,-1.13,5.08,1.63,22.91,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,3,2022,2023,5.24,5.08,6.69,18.22,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1673,4,2022,2023,3.47,5.08,0.12,0.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,5,2022,2023,3.72,5.08,0.22,0.1,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,6,2022,2023,1.78,5.08,21.28,10.65,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,7,2022,2023,6.82,5.08,18.31,11.47,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,8,2022,2023,7.77,5.08,6.61,1.99,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,9,2022,2023,12.1,5.08,4.27,1.64,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,10,2022,2023,6.35,5.08,2.15,4.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1673,11,2022,2023,2.6,5.08,5.29,2.24,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,12,2022,2023,4.66,5.08,10.03,3.29,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,13,2022,2023,4.36,5.08,1.15,0.1,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,14,2022,2023,0.25,5.08,2.84,3.06,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,15,2022,2023,4.59,5.08,5.98,2.49,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,16,2022,2023,0.01,5.08,2.33,0.69,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,17,2022,2023,7.27,5.08,5.88,0.79,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,1,2023,2024,4.19,5.03,5.19,15.71,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,2,2023,2024,3.31,5.03,1.61,22.53,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,3,2023,2024,1.38,5.03,6.49,18.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,4,2023,2024,4.19,5.03,0.12,0.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,5,2023,2024,-2.74,5.03,0.2,0.1,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,6,2023,2024,3.82,5.03,21.11,10.74,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,7,2023,2024,7.34,5.03,18.78,11.74,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,8,2023,2024,3.23,5.03,6.52,1.96,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,9,2023,2024,13.15,5.03,4.62,1.71,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,10,2023,2024,2.59,5.03,2.11,4.28,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,11,2023,2024,2.22,5.03,5.17,2.29,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,12,2023,2024,2.76,5.03,9.85,3.38,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,13,2023,2024,7.93,5.03,1.19,0.1,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,14,2023,2024,4.95,5.03,2.85,3.18,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,15,2023,2024,5,5.03,6.01,2.54,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,16,2023,2024,2.93,5.03,2.29,0.71,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,17,2023,2024,4.76,5.03,5.88,0.78,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,1,2024,2025,0.69,5.35,4.98,15.77,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,2,2024,2025,0.01,5.35,1.54,22.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,3,2024,2025,5.99,5.35,6.55,18,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1673,4,2024,2025,0.64,5.35,0.12,0.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,5,2024,2025,-0.68,5.35,0.19,0.1,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,6,2024,2025,3.67,5.35,20.86,10.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,7,2024,2025,8.9,5.35,19.49,12.09,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,8,2024,2025,5.62,5.35,6.56,1.95,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,9,2024,2025,9.53,5.35,4.82,1.78,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,10,2024,2025,3.3,5.35,2.07,4.31,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,11,2024,2025,3.67,5.35,5.1,2.27,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,12,2024,2025,2.55,5.35,9.63,3.46,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,13,2024,2025,2.67,5.35,1.16,0.11,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,14,2024,2025,3.35,5.35,2.8,3.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1673,15,2024,2025,4.05,5.35,5.96,2.51,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1673,16,2024,2025,5.46,5.35,2.31,0.71,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1673,17,2024,2025,4.29,5.35,5.85,0.77,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,1,2021,2022,2.95,5.24,18.79,16.57,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,2,2021,2022,2.46,5.24,42.02,22.3,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,3,2021,2022,2.98,5.24,2.33,18.43,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,4,2021,2022,5.66,5.24,0.02,0.12,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,5,2021,2022,1.25,5.24,0.06,0.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,6,2021,2022,7.96,5.24,14.31,10.81,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,7,2021,2022,9.39,5.24,11.72,11.25,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,8,2021,2022,5.06,5.24,0.11,1.94,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,9,2021,2022,12.63,5.24,1.61,1.52,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,10,2021,2022,7.2,5.24,1.07,4.08,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,11,2021,2022,0.86,5.24,0.93,2.25,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,12,2021,2022,4.79,5.24,2.9,3.31,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,13,2021,2022,0.74,5.24,0.03,0.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,14,2021,2022,3.65,5.24,1.77,3.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,15,2021,2022,4.78,5.24,2.1,2.56,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,16,2021,2022,4.01,5.24,0.15,0.73,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,17,2021,2022,1.86,5.24,0.07,0.81,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,1,2022,2023,3.79,5.08,18.64,16.11,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,2,2022,2023,3.49,5.08,41.55,22.91,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,3,2022,2023,8.39,5.08,2.42,18.22,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,4,2022,2023,5.36,5.08,0.02,0.12,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,5,2022,2023,8.05,5.08,0.07,0.1,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,6,2022,2023,5.05,5.08,14.37,10.65,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,7,2022,2023,7.93,5.08,12.09,11.47,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,8,2022,2023,3.57,5.08,0.11,1.99,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,9,2022,2023,12.14,5.08,1.72,1.64,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,10,2022,2023,6.78,5.08,1.09,4.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,11,2022,2023,2.93,5.08,0.91,2.24,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,12,2022,2023,5.8,5.08,2.93,3.29,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,13,2022,2023,3.68,5.08,0.03,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,14,2022,2023,4.24,5.08,1.76,3.06,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,15,2022,2023,3.71,5.08,2.08,2.49,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,16,2022,2023,0,5.08,0.15,0.69,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,17,2022,2023,3.35,5.08,0.06,0.79,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,1,2023,2024,4.93,5.03,18.63,15.71,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,2,2023,2024,4.28,5.03,41.27,22.53,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,3,2023,2024,0.34,5.03,2.31,18.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,4,2023,2024,7.63,5.03,0.02,0.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,5,2023,2024,4.58,5.03,0.07,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,6,2023,2024,4.11,5.03,14.25,10.74,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,7,2023,2024,7.98,5.03,12.43,11.74,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,8,2023,2024,1.2,5.03,0.11,1.96,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,9,2023,2024,8.55,5.03,1.78,1.71,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,10,2023,2024,7.66,5.03,1.12,4.28,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,11,2023,2024,8.48,5.03,0.94,2.29,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,12,2023,2024,3.26,5.03,2.88,3.38,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,13,2023,2024,7.8,5.03,0.03,0.1,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,14,2023,2024,7.34,5.03,1.8,3.18,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,15,2023,2024,7.97,5.03,2.14,2.54,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,16,2023,2024,4.11,5.03,0.15,0.71,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,17,2023,2024,2.95,5.03,0.06,0.78,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,1,2024,2025,3.79,5.35,18.41,15.77,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,2,2024,2025,3.77,5.35,40.78,22.12,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1612,3,2024,2025,7.9,5.35,2.37,18,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,4,2024,2025,7.87,5.35,0.02,0.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,5,2024,2025,1.1,5.35,0.06,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,6,2024,2025,6.81,5.35,14.49,10.81,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,7,2024,2025,8.29,5.35,12.82,12.09,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,8,2024,2025,2.38,5.35,0.1,1.95,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,9,2024,2025,9.06,5.35,1.85,1.78,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1612,10,2024,2025,5.93,5.35,1.13,4.31,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,11,2024,2025,1.86,5.35,0.92,2.27,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,12,2024,2025,5.59,5.35,2.9,3.46,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,13,2024,2025,5.92,5.35,0.03,0.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1612,14,2024,2025,3.17,5.35,1.77,3.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,15,2024,2025,4.29,5.35,2.13,2.51,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,16,2024,2025,4.57,5.35,0.15,0.71,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1612,17,2024,2025,4.3,5.35,0.06,0.77,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,1,2021,2022,4.12,5.24,24.69,16.57,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,2,2021,2022,2.6,5.24,2.18,22.3,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,3,2021,2022,4.24,5.24,1.32,18.43,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,4,2021,2022,5.39,5.24,0.07,0.12,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,5,2021,2022,3.57,5.24,0.06,0.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,6,2021,2022,4.04,5.24,16.83,10.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,7,2021,2022,6.9,5.24,19.37,11.25,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,8,2021,2022,5.51,5.24,2.9,1.94,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,9,2021,2022,10.78,5.24,3.19,1.52,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,10,2021,2022,8.16,5.24,2.09,4.08,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,11,2021,2022,0.01,5.24,3.55,2.25,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,12,2021,2022,4.58,5.24,5.92,3.31,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,13,2021,2022,2.82,5.24,0.09,0.11,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,14,2021,2022,2.14,5.24,2.95,3.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,15,2021,2022,5.46,5.24,10.33,2.56,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,16,2021,2022,3.89,5.24,2.15,0.73,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,17,2021,2022,3.63,5.24,2.31,0.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,1,2022,2023,3.07,5.08,24.38,16.11,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,2,2022,2023,2.66,5.08,2.15,22.91,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,3,2022,2023,4.44,5.08,1.32,18.22,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,4,2022,2023,2.27,5.08,0.07,0.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,5,2022,2023,-0.69,5.08,0.06,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,6,2022,2023,3.32,5.08,16.67,10.65,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,7,2022,2023,6.91,5.08,19.85,11.47,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,8,2022,2023,6.21,5.08,2.95,1.99,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,9,2022,2023,9.72,5.08,3.35,1.64,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,10,2022,2023,6.39,5.08,2.13,4.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,11,2022,2023,4.63,5.08,3.56,2.24,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,12,2022,2023,4.11,5.08,5.91,3.29,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,13,2022,2023,1.83,5.08,0.09,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,14,2022,2023,3.12,5.08,2.92,3.06,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,15,2022,2023,3.81,5.08,10.27,2.49,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,16,2022,2023,0,5.08,2.06,0.69,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,17,2022,2023,2.35,5.08,2.27,0.79,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,1,2023,2024,3.1,5.03,23.93,15.71,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,2,2023,2024,4.11,5.03,2.13,22.53,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,3,2023,2024,2.94,5.03,1.29,18.13,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,4,2023,2024,7.78,5.03,0.07,0.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,5,2023,2024,6.25,5.03,0.06,0.1,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,6,2023,2024,4.6,5.03,16.6,10.74,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,7,2023,2024,6.98,5.03,20.21,11.74,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,8,2023,2024,7.22,5.03,3.01,1.96,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,9,2023,2024,9.88,5.03,3.51,1.71,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,10,2023,2024,8.47,5.03,2.2,4.28,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,11,2023,2024,6.7,5.03,3.62,2.29,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,12,2023,2024,6.23,5.03,5.98,3.38,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,13,2023,2024,5.38,5.03,0.09,0.1,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,14,2023,2024,6.88,5.03,2.97,3.18,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,15,2023,2024,3.39,5.03,10.11,2.54,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,16,2023,2024,0.61,5.03,1.97,0.71,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,17,2023,2024,4.83,5.03,2.26,0.78,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,1,2024,2025,3.84,5.35,23.63,15.77,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,2,2024,2025,-0.14,5.35,2.02,22.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,3,2024,2025,6.93,5.35,1.31,18,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,4,2024,2025,6.7,5.35,0.07,0.13,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,5,2024,2025,0.65,5.35,0.05,0.1,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,6,2024,2025,3.97,5.35,16.41,10.81,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,7,2024,2025,10.08,5.35,21.16,12.09,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,8,2024,2025,8.3,5.35,3.1,1.95,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,9,2024,2025,10.81,5.35,3.69,1.78,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
kabupaten,16,1672,10,2024,2025,5.69,5.35,2.21,4.31,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,11,2024,2025,2.79,5.35,3.54,2.27,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,12,2024,2025,1.14,5.35,5.75,3.46,"Kuadran II","Sektor Maju tapi Tertekan"
kabupaten,16,1672,13,2024,2025,6.38,5.35,0.09,0.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
kabupaten,16,1672,14,2024,2025,3.75,5.35,2.93,3.12,"Kuadran IV","Sektor Relatif Tertinggal"
kabupaten,16,1672,15,2024,2025,2.39,5.35,9.84,2.51,"Kuadran II","Sektor Maju tapi Tertekan"
