kab_id,sektor_id,tahun,nilai
12.01,1,2021,3525390000000
12.01,2,2021,21340000000
12.01,3,2021,774130000000
12.01,4,2021,40120000000
12.01,5,2021,8060000000
12.01,6,2021,722260000000
12.01,7,2021,844340000000
12.01,8,2021,145560000000
12.01,9,2021,102800000000
12.01,10,2021,60550000000
12.01,11,2021,72800000000
12.01,12,2021,150270000000
12.01,13,2021,20400000000
12.01,14,2021,550780000000
12.01,15,2021,79700000000
12.01,16,2021,24140000000
12.01,17,2021,6640000000
12.01,1,2022,3668690000000
12.01,2,2022,22420000000
12.01,3,2022,788610000000
12.01,4,2022,42030000000
12.01,5,2022,8690000000
12.01,6,2022,744000000000
12.01,7,2022,911130000000
12.01,8,2022,162700000000
12.01,9,2022,110720000000
12.01,10,2022,65070000000
12.01,11,2022,75980000000
12.01,12,2022,158830000000
12.01,13,2022,21870000000
12.01,14,2022,550650000000
12.01,15,2022,83840000000
12.01,16,2022,25570000000
12.01,17,2022,7060000000
12.01,1,2023,3786330000000
12.01,2,2023,23580000000
12.01,3,2023,820460000000
12.01,4,2023,42820000000
12.01,5,2023,9010000000
12.01,6,2023,782730000000
12.01,7,2023,962020000000
12.01,8,2023,183270000000
12.01,9,2023,119410000000
12.01,10,2023,68370000000
12.01,11,2023,79380000000
12.01,12,2023,167480000000
12.01,13,2023,23620000000
12.01,14,2023,569790000000
12.01,15,2023,89500000000
12.01,16,2023,27200000000
12.01,17,2023,7620000000
12.01,1,2024,3885070000000
12.01,2,2024,23700000000
12.01,3,2024,855160000000
12.01,4,2024,45200000000
12.01,5,2024,9410000000
12.01,6,2024,838740000000
12.01,7,2024,1011150000000
12.01,8,2024,188410000000
12.01,9,2024,127650000000
12.01,10,2024,71610000000
12.01,11,2024,82780000000
12.01,12,2024,173530000000
12.01,13,2024,25370000000
12.01,14,2024,615340000000
12.01,15,2024,94200000000
12.01,16,2024,28840000000
12.01,17,2024,8270000000
12.01,1,2025,4064470000000
12.01,2,2025,24380000000
12.01,3,2025,871220000000
12.01,4,2025,45330000000
12.01,5,2025,9400000000
12.01,6,2025,838630000000
12.01,7,2025,1051290000000
12.01,8,2025,190350000000
12.01,9,2025,133540000000
12.01,10,2025,74230000000
12.01,11,2025,84020000000
12.01,12,2025,185490000000
12.01,13,2025,26780000000
12.01,14,2025,613110000000
12.01,15,2025,95630000000
12.01,16,2025,31270000000
12.01,17,2025,8430000000
12.02,1,2021,2782750000000
12.02,2,2021,4950000000
12.02,3,2021,128940000000
12.02,4,2021,7980000000
12.02,5,2021,6400000000
12.02,6,2021,817370000000
12.02,7,2021,856490000000
12.02,8,2021,282050000000
12.02,9,2021,138630000000
12.02,10,2021,60090000000
12.02,11,2021,93630000000
12.02,12,2021,123470000000
12.02,13,2021,17170000000
12.02,14,2021,581960000000
12.02,15,2021,105030000000
12.02,16,2021,43630000000
12.02,17,2021,7800000000
12.02,1,2022,2916340000000
12.02,2,2022,5170000000
12.02,3,2022,134040000000
12.02,4,2022,8170000000
12.02,5,2022,6690000000
12.02,6,2022,850080000000
12.02,7,2022,895020000000
12.02,8,2022,303280000000
12.02,9,2022,148520000000
12.02,10,2022,62990000000
12.02,11,2022,96600000000
12.02,12,2022,129460000000
12.02,13,2022,18300000000
12.02,14,2022,576850000000
12.02,15,2022,109780000000
12.02,16,2022,46060000000
12.02,17,2022,8370000000
12.02,1,2023,3032610000000
12.02,2,2023,5410000000
12.02,3,2023,141290000000
12.02,4,2023,8440000000
12.02,5,2023,7020000000
12.02,6,2023,889500000000
12.02,7,2023,953200000000
12.02,8,2023,324980000000
12.02,9,2023,158970000000
12.02,10,2023,65300000000
12.02,11,2023,100400000000
12.02,12,2023,134270000000
12.02,13,2023,19110000000
12.02,14,2023,603070000000
12.02,15,2023,115260000000
12.02,16,2023,48340000000
12.02,17,2023,8780000000
12.02,1,2024,3122220000000
12.02,2,2024,5670000000
12.02,3,2024,147550000000
12.02,4,2024,8510000000
12.02,5,2024,7110000000
12.02,6,2024,923710000000
12.02,7,2024,1027190000000
12.02,8,2024,348680000000
12.02,9,2024,174320000000
12.02,10,2024,69760000000
12.02,11,2024,105350000000
12.02,12,2024,138570000000
12.02,13,2024,20460000000
12.02,14,2024,650640000000
12.02,15,2024,121290000000
12.02,16,2024,50810000000
12.02,17,2024,9400000000
12.02,1,2025,3241990000000
12.02,2,2025,5920000000
12.02,3,2025,156500000000
12.02,4,2025,9790000000
12.02,5,2025,7200000000
12.02,6,2025,923640000000
12.02,7,2025,1105430000000
12.02,8,2025,397530000000
12.02,9,2025,189120000000
12.02,10,2025,74260000000
12.02,11,2025,108650000000
12.02,12,2025,143600000000
12.02,13,2025,21630000000
12.02,14,2025,668360000000
12.02,15,2025,130730000000
12.02,16,2025,54420000000
12.02,17,2025,9750000000
