tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,19,,7,2024,2025,447073789210.4,28516978073.4,-45040767283.8,430550000000,0,1
provinsi,19,,8,2024,2025,131592056440.66,92183379069.77,-83245435510.43,140530000000,0,1
provinsi,19,,9,2024,2025,91874364546.74,39971777052.02,31313858401.25,163160000000,1,1
provinsi,19,,10,2024,2025,111435052879.94,68751611382.43,13513335737.63,193700000000,1,1
provinsi,19,,11,2024,2025,60887140615.82,-14222740108.18,-37094400507.64,9570000000,0,0
provinsi,19,,12,2024,2025,112855367330.93,-34603471453.25,4668104122.32,82920000000,1,0
provinsi,19,,13,2024,2025,8368548504.58,6374357844.06,-3242906348.63,11500000000,0,1
provinsi,19,,14,2024,2025,185374010769.85,-46790467391.63,-142903543378.23,-4320000000,0,0
provinsi,19,,15,2024,2025,91449973969.23,-3032336373.66,30662362404.43,119080000000,1,0
provinsi,19,,16,2024,2025,46936462033.42,3921822397.02,-548284430.43,50310000000,0,1
provinsi,19,,17,2024,2025,27177518247.95,25069177811.08,-4626696059.03,47620000000,0,1
provinsi,21,,1,2021,2022,263297699178.83,-143293828113.29,159806128934.46,279810000000,1,0
provinsi,21,,2,2021,2022,1224397997649.6,-139221337863.27,-2818386659786.3,-1733210000000,0,0
provinsi,21,,3,2021,2022,3756253692533.4,-41725628503.27,-291718064030.12,3422810000000,0,0
provinsi,21,,4,2021,2022,81577488957.63,27394981652.53,161107529389.85,270080000000,1,1
provinsi,21,,5,2021,2022,10818752333.49,-3746424245.82,12207671912.33,19280000000,1,0
provinsi,21,,6,2021,2022,1645275069347.7,-975414362145.48,991369292797.75,1661230000000,1,0
provinsi,21,,7,2021,2022,672485294009.61,79174844165.08,1132979861825.3,1884640000000,1,1
provinsi,21,,8,2021,2022,124421588593.27,375288692882.95,465229718523.78,964940000000,1,1
provinsi,21,,9,2021,2022,116654824697.01,164997701904.21,890507473398.78,1172160000000,1,1
provinsi,21,,10,2021,2022,292358130497.15,164213092504.35,55098776998.51,511670000000,1,1
provinsi,21,,11,2021,2022,239115304169.65,-145640177581.77,108294873412.12,201770000000,1,0
provinsi,21,,12,2021,2022,111211312170.7,-72550230429.03,65688918258.33,104350000000,1,0
provinsi,21,,13,2021,2022,283974933.21,219599029.52,366426037.27,870000000,1,1
provinsi,21,,14,2021,2022,199291530260.91,-97792051715.33,33660521454.42,135160000000,1,0
provinsi,21,,15,2021,2022,108007936399.74,-96065437414.97,60507501015.23,72450000000,1,0
provinsi,21,,16,2021,2022,93308028402.45,-41423333405.14,-52174694997.31,-290000000,0,0
provinsi,21,,17,2021,2022,13499198654.27,12329605120.34,165091196225.39,190920000000,1,1
provinsi,21,,1,2022,2023,283114567347.44,-209966927226.57,12622359879.13,85770000000,1,0
provinsi,21,,2,2022,2023,1163194808043.7,245742123021.49,-2018286931065.2,-609350000000,0,1
provinsi,21,,3,2022,2023,4010207321892.3,-328637417369.96,-1726769904522.4,1954800000000,0,0
provinsi,21,,4,2022,2023,96985587980.67,-2821565323.61,59945977342.94,154110000000,1,0
provinsi,21,,5,2022,2023,12026352398.31,-374791964.33,-1051560433.98,10600000000,0,0
provinsi,21,,6,2022,2023,1764696896719.7,-49014747545.84,1947307850826.1,3662990000000,1,0
provinsi,21,,7,2022,2023,782229418419.62,-31540361973.55,157210943553.93,907900000000,1,0
provinsi,21,,8,2022,2023,175871000100.15,310016862972.38,33242136927.47,519130000000,1,1
provinsi,21,,9,2022,2023,178409593481.25,174718517143.13,611091889375.62,964220000000,1,1
provinsi,21,,10,2022,2023,324519465085.89,163154945227.6,794085589686.52,1281760000000,1,1
provinsi,21,,11,2022,2023,254466821535.3,-14071581135.64,194964759600.34,435360000000,1,0
