tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori,persen_daerah,persen_acuan
provinsi,11,,5,2024,0.4388,"Non Basis",0.04,0.09
provinsi,11,,6,2024,0.9317,"Non Basis",9.52,10.21
provinsi,11,,7,2024,1.1398,Basis,15.51,13.61
provinsi,11,,8,2024,1.5137,Basis,7.38,4.88
provinsi,11,,9,2024,0.4422,"Non Basis",1.48,3.36
provinsi,11,,10,2024,0.6138,"Non Basis",4.31,7.02
provinsi,11,,11,2024,0.3538,"Non Basis",1.49,4.2
provinsi,11,,12,2024,1.4426,Basis,4.11,2.85
provinsi,11,,13,2024,0.3104,"Non Basis",0.63,2.03
provinsi,11,,14,2024,2.6577,Basis,8.67,3.26
provinsi,11,,15,2024,0.881,"Non Basis",2.65,3.01
provinsi,11,,16,2024,2.2512,Basis,3.33,1.48
provinsi,11,,17,2024,0.7371,"Non Basis",1.59,2.16
provinsi,11,,1,2025,2.3233,Basis,27.56,11.86
provinsi,11,,2,2025,1.0038,Basis,7.33,7.3
provinsi,11,,3,2025,0.2044,"Non Basis",4.33,21.21
provinsi,11,,4,2025,0.145,"Non Basis",0.15,1.07
provinsi,11,,5,2025,0.4416,"Non Basis",0.04,0.08
provinsi,11,,6,2025,0.894,"Non Basis",9.01,10.08
provinsi,11,,7,2025,1.1529,Basis,15.74,13.65
provinsi,11,,8,2025,1.5066,Basis,7.6,5.04
provinsi,11,,9,2025,0.4407,"Non Basis",1.51,3.43
provinsi,11,,10,2025,0.5894,"Non Basis",4.27,7.24
provinsi,11,,11,2025,0.361,"Non Basis",1.5,4.16
provinsi,11,,12,2025,1.4859,Basis,4.17,2.81
provinsi,11,,13,2025,0.2891,"Non Basis",0.61,2.11
provinsi,11,,14,2025,2.6801,Basis,8.64,3.22
provinsi,11,,15,2025,0.8868,"Non Basis",2.67,3.01
provinsi,11,,16,2025,2.2257,Basis,3.3,1.48
provinsi,11,,17,2025,0.6989,"Non Basis",1.58,2.25
provinsi,13,,1,2021,1.6855,Basis,22.18,13.16
provinsi,13,,2,2021,0.5121,"Non Basis",3.95,7.71
provinsi,13,,3,2021,0.4437,"Non Basis",9.5,21.41
provinsi,13,,4,2021,0.0931,"Non Basis",0.1,1.08
provinsi,13,,5,2021,1.0914,Basis,0.1,0.09
provinsi,13,,6,2021,0.8959,"Non Basis",9.26,10.33
provinsi,13,,7,2021,1.2177,Basis,16.55,13.59
provinsi,13,,8,2021,2.7016,Basis,10.28,3.81
provinsi,13,,9,2021,0.3453,"Non Basis",1.01,2.91
provinsi,13,,10,2021,1.3008,Basis,8.49,6.53
provinsi,13,,11,2021,0.6882,"Non Basis",3,4.35
provinsi,13,,12,2021,0.6349,"Non Basis",1.98,3.12
provinsi,13,,13,2021,0.2305,"Non Basis",0.43,1.85
provinsi,13,,14,2021,1.6471,Basis,5.62,3.41
provinsi,13,,15,2021,1.2812,Basis,4.21,3.29
provinsi,13,,16,2021,1.1117,Basis,1.64,1.47
provinsi,13,,17,2021,0.9062,"Non Basis",1.71,1.88
provinsi,13,,1,2022,1.7161,Basis,22.01,12.82
provinsi,13,,2,2022,0.5029,"Non Basis",3.85,7.66
provinsi,13,,3,2022,0.4328,"Non Basis",9.26,21.4
provinsi,13,,4,2022,0.0906,"Non Basis",0.1,1.09
provinsi,13,,5,2022,1.1048,Basis,0.1,0.09
provinsi,13,,6,2022,0.9053,"Non Basis",9.09,10.04
provinsi,13,,7,2022,1.2253,Basis,16.74,13.66
provinsi,13,,8,2022,2.3965,Basis,10.42,4.35
provinsi,13,,9,2022,0.3591,"Non Basis",1.12,3.11
provinsi,13,,10,2022,1.2995,Basis,8.71,6.7
provinsi,13,,11,2022,0.7098,"Non Basis",3,4.23
provinsi,13,,12,2022,0.6639,"Non Basis",2.01,3.03
provinsi,13,,13,2022,0.2287,"Non Basis",0.44,1.91
provinsi,13,,14,2022,1.63,Basis,5.44,3.33
provinsi,13,,15,2022,1.3471,Basis,4.24,3.15
provinsi,13,,16,2022,1.1374,Basis,1.64,1.44
provinsi,13,,17,2022,0.9314,"Non Basis",1.83,1.96
provinsi,13,,1,2023,1.7612,Basis,21.78,12.37
provinsi,13,,2,2023,0.498,"Non Basis",3.86,7.74
provinsi,13,,3,2023,0.4282,"Non Basis",9.13,21.32
provinsi,13,,4,2023,0.0904,"Non Basis",0.1,1.09
provinsi,13,,5,2023,1.0807,Basis,0.1,0.09
provinsi,13,,6,2023,0.9172,"Non Basis",9.2,10.03
provinsi,13,,7,2023,1.2276,Basis,16.74,13.64
provinsi,13,,8,2023,2.2334,Basis,10.53,4.72
provinsi,13,,9,2023,0.3531,"Non Basis",1.15,3.25
provinsi,13,,10,2023,1.3054,Basis,8.96,6.86
provinsi,13,,11,2023,0.6992,"Non Basis",2.95,4.22
provinsi,13,,12,2023,0.6988,"Non Basis",2.04,2.92
provinsi,13,,13,2023,0.2267,"Non Basis",0.45,1.97
provinsi,13,,14,2023,1.6505,Basis,5.32,3.22
provinsi,13,,15,2023,1.3535,Basis,4.13,3.05
provinsi,13,,16,2023,1.1707,Basis,1.68,1.44
provinsi,13,,17,2023,0.9145,"Non Basis",1.89,2.06
provinsi,13,,1,2024,1.7981,Basis,21.3,11.84
provinsi,13,,2,2024,0.4971,"Non Basis",3.84,7.73
provinsi,13,,3,2024,0.4237,"Non Basis",8.97,21.18
provinsi,13,,4,2024,0.0907,"Non Basis",0.1,1.09
provinsi,13,,5,2024,1.1071,Basis,0.1,0.09
provinsi,13,,6,2024,0.9027,"Non Basis",9.22,10.21
provinsi,13,,7,2024,1.2308,Basis,16.75,13.61
provinsi,13,,8,2024,2.1847,Basis,10.66,4.88
provinsi,13,,9,2024,0.3455,"Non Basis",1.16,3.36
provinsi,13,,10,2024,1.2888,Basis,9.05,7.02
provinsi,13,,11,2024,0.713,"Non Basis",3,4.2
provinsi,13,,12,2024,0.7269,"Non Basis",2.07,2.85
provinsi,13,,13,2024,0.2206,"Non Basis",0.45,2.03
provinsi,13,,14,2024,1.7216,Basis,5.62,3.26
provinsi,13,,15,2024,1.3562,Basis,4.08,3.01
provinsi,13,,16,2024,1.1515,Basis,1.7,1.48
provinsi,13,,17,2024,0.8998,"Non Basis",1.94,2.16
provinsi,13,,1,2025,1.8087,Basis,21.46,11.86
provinsi,13,,2,2025,0.5139,"Non Basis",3.75,7.3
provinsi,13,,3,2025,0.4313,"Non Basis",9.15,21.21
provinsi,13,,4,2025,0.0902,"Non Basis",0.1,1.07
provinsi,13,,5,2025,1.12,Basis,0.09,0.08
provinsi,13,,6,2025,0.8722,"Non Basis",8.79,10.08
provinsi,13,,7,2025,1.231,Basis,16.8,13.65
provinsi,13,,8,2025,2.0429,Basis,10.31,5.04
provinsi,13,,9,2025,0.3378,"Non Basis",1.16,3.43
provinsi,13,,10,2025,1.274,Basis,9.22,7.24
provinsi,13,,11,2025,0.7505,"Non Basis",3.12,4.16
provinsi,13,,12,2025,0.7552,"Non Basis",2.12,2.81
provinsi,13,,13,2025,0.2165,"Non Basis",0.46,2.11
provinsi,13,,14,2025,1.7195,Basis,5.54,3.22
provinsi,13,,15,2025,1.3714,Basis,4.12,3.01
provinsi,13,,16,2025,1.1991,Basis,1.78,1.48
provinsi,13,,17,2025,0.9035,"Non Basis",2.04,2.25
provinsi,14,,1,2021,2.1111,Basis,27.78,13.16
provinsi,14,,2,2021,1.9907,Basis,15.34,7.71
provinsi,14,,3,2021,1.4977,Basis,32.07,21.41
provinsi,14,,4,2021,0.0707,"Non Basis",0.08,1.08
provinsi,14,,5,2021,0.1492,"Non Basis",0.01,0.09
provinsi,14,,6,2021,0.8146,"Non Basis",8.42,10.33
provinsi,14,,7,2021,0.6808,"Non Basis",9.25,13.59
provinsi,14,,8,2021,0.1736,"Non Basis",0.66,3.81
provinsi,14,,9,2021,0.1466,"Non Basis",0.43,2.91
provinsi,14,,10,2021,0.1725,"Non Basis",1.13,6.53
provinsi,14,,11,2021,0.228,"Non Basis",0.99,4.35
provinsi,14,,12,2021,0.306,"Non Basis",0.96,3.12
provinsi,14,,13,2021,0.0025,"Non Basis",0,1.85
provinsi,14,,14,2021,0.4844,"Non Basis",1.65,3.41
provinsi,14,,15,2021,0.1605,"Non Basis",0.53,3.29
provinsi,14,,16,2021,0.1769,"Non Basis",0.26,1.47
provinsi,14,,17,2021,0.2326,"Non Basis",0.44,1.88
provinsi,14,,1,2022,2.1308,Basis,27.32,12.82
provinsi,14,,2,2022,1.9403,Basis,14.87,7.66
provinsi,14,,3,2022,1.501,Basis,32.13,21.4
provinsi,14,,4,2022,0.0761,"Non Basis",0.08,1.09
provinsi,14,,5,2022,0.1516,"Non Basis",0.01,0.09
provinsi,14,,6,2022,0.8396,"Non Basis",8.43,10.04
provinsi,14,,7,2022,0.7246,"Non Basis",9.9,13.66
provinsi,14,,8,2022,0.1724,"Non Basis",0.75,4.35
provinsi,14,,9,2022,0.1458,"Non Basis",0.45,3.11
provinsi,14,,10,2022,0.1718,"Non Basis",1.15,6.7
provinsi,14,,11,2022,0.2356,"Non Basis",1,4.23
provinsi,14,,12,2022,0.3185,"Non Basis",0.96,3.03
provinsi,14,,13,2022,0.0026,"Non Basis",0,1.91
provinsi,14,,14,2022,0.5026,"Non Basis",1.68,3.33
provinsi,14,,15,2022,0.1666,"Non Basis",0.52,3.15
provinsi,14,,16,2022,0.1771,"Non Basis",0.26,1.44
provinsi,14,,17,2022,0.2408,"Non Basis",0.47,1.96
provinsi,14,,1,2023,2.1888,Basis,27.07,12.37
provinsi,14,,2,2023,1.8897,Basis,14.63,7.74
provinsi,14,,3,2023,1.4985,Basis,31.95,21.32
provinsi,14,,4,2023,0.0742,"Non Basis",0.08,1.09
provinsi,14,,5,2023,0.1537,"Non Basis",0.01,0.09
provinsi,14,,6,2023,0.8808,"Non Basis",8.84,10.03
provinsi,14,,7,2023,0.7393,"Non Basis",10.08,13.64
provinsi,14,,8,2023,0.1652,"Non Basis",0.78,4.72
provinsi,14,,9,2023,0.1392,"Non Basis",0.45,3.25
provinsi,14,,10,2023,0.1733,"Non Basis",1.19,6.86
provinsi,14,,11,2023,0.2359,"Non Basis",1,4.22
provinsi,14,,12,2023,0.329,"Non Basis",0.96,2.92
provinsi,14,,13,2023,0.0025,"Non Basis",0,1.97
provinsi,14,,14,2023,0.5261,"Non Basis",1.7,3.22
provinsi,14,,15,2023,0.1712,"Non Basis",0.52,3.05
provinsi,14,,16,2023,0.1825,"Non Basis",0.26,1.44
provinsi,14,,17,2023,0.2334,"Non Basis",0.48,2.06
