tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,19,,17,2025,0.4023,"Non Basis",-4626696059.03,"Relatif Tertinggal"
provinsi,21,,1,2022,0.2298,"Non Basis",159806128934.46,"Potensial / Cepat Berkembang"
provinsi,21,,2,2022,1.5797,Basis,-2818386659786.3,"Maju tapi Tertekan"
provinsi,21,,3,2022,1.9501,Basis,-291718064030.12,"Maju tapi Tertekan"
provinsi,21,,4,2022,0.923,"Non Basis",161107529389.85,"Potensial / Cepat Berkembang"
provinsi,21,,5,2022,1.3687,Basis,12207671912.33,"Maju dan Tumbuh Cepat"
provinsi,21,,6,2022,1.8285,Basis,991369292797.75,"Maju dan Tumbuh Cepat"
provinsi,21,,7,2022,0.5958,"Non Basis",1132979861825.3,"Potensial / Cepat Berkembang"
provinsi,21,,8,2022,0.421,"Non Basis",465229718523.78,"Potensial / Cepat Berkembang"
provinsi,21,,9,2022,0.5977,"Non Basis",890507473398.78,"Potensial / Cepat Berkembang"
provinsi,21,,10,2022,0.504,"Non Basis",55098776998.51,"Potensial / Cepat Berkembang"
provinsi,21,,11,2022,0.6261,"Non Basis",108294873412.12,"Potensial / Cepat Berkembang"
provinsi,21,,12,2022,0.4087,"Non Basis",65688918258.33,"Potensial / Cepat Berkembang"
provinsi,21,,13,2022,0.0018,"Non Basis",366426037.27,"Potensial / Cepat Berkembang"
provinsi,21,,14,2022,0.6567,"Non Basis",33660521454.42,"Potensial / Cepat Berkembang"
provinsi,21,,15,2022,0.3768,"Non Basis",60507501015.23,"Potensial / Cepat Berkembang"
provinsi,21,,16,2022,0.6881,"Non Basis",-52174694997.31,"Relatif Tertinggal"
provinsi,21,,17,2022,0.1243,"Non Basis",165091196225.39,"Potensial / Cepat Berkembang"
provinsi,21,,1,2023,0.2301,"Non Basis",12622359879.13,"Potensial / Cepat Berkembang"
provinsi,21,,2,2023,1.4477,Basis,-2018286931065.2,"Maju tapi Tertekan"
provinsi,21,,3,2023,1.9076,Basis,-1726769904522.4,"Maju tapi Tertekan"
provinsi,21,,4,2023,0.9496,"Non Basis",59945977342.94,"Potensial / Cepat Berkembang"
provinsi,21,,5,2023,1.3616,Basis,-1051560433.98,"Maju tapi Tertekan"
provinsi,21,,6,2023,1.9239,Basis,1947307850826.1,"Maju dan Tumbuh Cepat"
provinsi,21,,7,2023,0.601,"Non Basis",157210943553.93,"Potensial / Cepat Berkembang"
provinsi,21,,8,2023,0.4241,"Non Basis",33242136927.47,"Potensial / Cepat Berkembang"
provinsi,21,,9,2023,0.6911,"Non Basis",611091889375.62,"Potensial / Cepat Berkembang"
provinsi,21,,10,2023,0.5614,"Non Basis",794085589686.52,"Potensial / Cepat Berkembang"
provinsi,21,,11,2023,0.6487,"Non Basis",194964759600.34,"Potensial / Cepat Berkembang"
