id,sektor_id,tahun,nilai
00,1,2021,1404190900000000
00,2,2021,822099500000000
00,3,2021,2284821700000000
00,4,2021,114861100000000
00,5,2021,9919300000000
00,6,2021,1102517700000000
00,7,2021,1449831400000000
00,8,2021,406169300000000
00,9,2021,310737600000000
00,10,2021,696506100000000
00,11,2021,464637700000000
00,12,2021,333282900000000
00,13,2021,197106700000000
00,14,2021,364246600000000
00,15,2021,350660000000000
00,16,2021,157085500000000
00,17,2021,200773200000000
00,1,2022,1435853200000000
00,2,2022,858146600000000
00,3,2022,2396603000000000
00,4,2022,122451900000000
00,5,2022,10240100000000
00,6,2022,1124725200000000
00,7,2022,1530003700000000
00,8,2022,486873800000000
00,9,2022,347854600000000
00,10,2022,750319000000000
00,11,2022,473623800000000
00,12,2022,339014900000000
00,13,2022,214399000000000
00,14,2022,373424400000000
00,15,2022,352578200000000
00,16,2022,161406900000000
00,17,2022,219778300000000
00,1,2023,1454602200000000
00,2,2023,910679400000000
00,3,2023,2507799800000000
00,4,2023,128460500000000
00,5,2023,10741500000000
00,6,2023,1179989300000000
00,7,2023,1604211300000000
00,8,2023,554854900000000
00,9,2023,382651600000000
00,10,2023,807304600000000
00,11,2023,496236800000000
00,12,2023,343864800000000
00,13,2023,232076100000000
00,14,2023,379071200000000
00,15,2023,358828200000000
00,16,2023,168936900000000
00,17,2023,242892000000000
00,1,2024,1464446600000000
00,2,2024,955260200000000
00,3,2024,2618854500000000
00,4,2024,134594200000000
00,5,2024,10910100000000
00,6,2024,1262792700000000
00,7,2024,1682612100000000
00,8,2024,603051000000000
00,9,2024,415020600000000
00,10,2024,868446900000000
00,11,2024,519736400000000
00,12,2024,352454700000000
00,13,2024,251529700000000
00,14,2024,403445500000000
00,15,2024,372319400000000
00,16,2024,182664700000000
00,17,2024,266690600000000
00,1,2025,1542447400000000
00,2,2025,948947800000000
00,3,2025,2757586300000000
00,4,2025,138767800000000
00,5,2025,11012800000000
00,6,2025,1310966100000000
00,7,2025,1775024900000000
00,8,2025,655996700000000
00,9,2025,445770000000000
00,10,2025,940946900000000
00,11,2025,540301800000000
00,12,2025,365072100000000
00,13,2025,274407600000000
00,14,2025,419017400000000
00,15,2025,390904500000000
00,16,2025,192883500000000
00,17,2025,293160400000000
