provinsi_id,sektor_id,tahun,nilai
19,1,2021,10768720000000
19,2,2021,6450680000000
19,3,2021,11873920000000
19,4,2021,61030000000
19,5,2021,10200000000
19,6,2021,4897580000000
19,7,2021,7663260000000
19,8,2021,1879610000000
19,9,2021,1414900000000
19,10,2021,1571710000000
19,11,2021,972780000000
19,12,2021,1928670000000
19,13,2021,125500000000
19,14,2021,3137400000000
19,15,2021,1402510000000
19,16,2021,804540000000
19,17,2021,406650000000
19,1,2022,10875680000000
19,2,2022,6483730000000
19,3,2022,12484720000000
19,4,2022,58960000000
19,5,2022,10610000000
19,6,2022,4845590000000
19,7,2022,8488840000000
19,8,2022,2273980000000
19,9,2022,1561970000000
19,10,2022,1726630000000
19,11,2022,1027000000000
19,12,2022,2027310000000
19,13,2022,139300000000
19,14,2022,3094320000000
19,15,2022,1444940000000
19,16,2022,821940000000
19,17,2022,438700000000
19,1,2023,11281880000000
19,2,2023,6406130000000
19,3,2023,12724010000000
19,4,2023,60370000000
19,5,2023,10640000000
19,6,2023,5278870000000
19,7,2023,8689300000000
19,8,2023,2489440000000
19,9,2023,1716940000000
19,10,2023,1965180000000
19,11,2023,1169890000000
19,12,2023,2111160000000
19,13,2023,151640000000
19,14,2023,3299530000000
19,15,2023,1600080000000
19,16,2023,894450000000
19,17,2023,486810000000
19,1,2024,11634950000000
19,2,2024,6149520000000
19,3,2024,12223700000000
19,4,2024,63410000000
19,5,2024,11050000000
19,6,2024,5248610000000
19,7,2024,8659350000000
19,8,2024,2548800000000
19,9,2024,1779510000000
19,10,2024,2158380000000
19,11,2024,1179320000000
19,12,2024,2185890000000
19,13,2024,162090000000
19,14,2024,3590500000000
19,15,2024,1771290000000
19,16,2024,909110000000
19,17,2024,526400000000
19,1,2025,12003880000000
19,2,2025,6559530000000
19,3,2025,12752610000000
19,4,2025,66340000000
19,5,2025,11310000000
19,6,2025,5182230000000
19,7,2025,9089900000000
19,8,2025,2689330000000
19,9,2025,1942670000000
19,10,2025,2352080000000
19,11,2025,1188890000000
19,12,2025,2268810000000
19,13,2025,173590000000
19,14,2025,3586180000000
19,15,2025,1890370000000
19,16,2025,959420000000
19,17,2025,574020000000
21,1,2021,5322050000000
21,2,2021,24748820000000
21,3,2021,75925350000000
21,4,2021,1648930000000
21,5,2021,218680000000
21,6,2021,33256030000000
21,7,2021,13592980000000
21,8,2021,2514940000000
21,9,2021,2357950000000
21,10,2021,5909450000000
21,11,2021,4833250000000
21,12,2021,2247920000000
21,13,2021,5740000000
21,14,2021,4028290000000
21,15,2021,2183170000000
21,16,2021,1886040000000
21,17,2021,272860000000
21,1,2022,5601860000000
