kab_id,sektor_id,tahun,nilai
21.71,1,2021,1107090000000
21.71,2,2021,73200000000
21.71,3,2021,64672840000000
21.71,4,2021,1506710000000
21.71,5,2021,210750000000
21.71,6,2021,21880620000000
21.71,7,2021,6219690000000
21.71,8,2021,1276500000000
21.71,9,2021,1423410000000
21.71,10,2021,4306470000000
21.71,11,2021,3860470000000
21.71,12,2021,1282120000000
21.71,13,2021,3080000000
21.71,14,2021,1306760000000
21.71,15,2021,915560000000
21.71,16,2021,881290000000
21.71,17,2021,142370000000
21.71,1,2022,1156740000000
21.71,2,2022,77860000000
21.71,3,2022,68824750000000
21.71,4,2022,1745970000000
21.71,5,2022,219330000000
21.71,6,2022,22840390000000
21.71,7,2022,6657450000000
21.71,8,2022,1871810000000
21.71,9,2022,2117710000000
21.71,10,2022,4407710000000
21.71,11,2022,4042360000000
21.71,12,2022,1342550000000
21.71,13,2022,3480000000
21.71,14,2022,1320650000000
21.71,15,2022,920660000000
21.71,16,2022,939460000000
21.71,17,2022,176310000000
21.71,1,2023,1056660000000
21.71,2,2023,84470000000
21.71,3,2023,71915430000000
21.71,4,2023,1904920000000
21.71,5,2023,223200000000
21.71,6,2023,25092830000000
21.71,7,2023,7289970000000
21.71,8,2023,2161520000000
21.71,9,2023,2773110000000
21.71,10,2023,5223010000000
21.71,11,2023,4415760000000
21.71,12,2023,1384440000000
21.71,13,2023,3820000000
21.71,14,2023,1363440000000
21.71,15,2023,939590000000
21.71,16,2023,962990000000
21.71,17,2023,221810000000
21.71,1,2024,973110000000
21.71,2,2024,89950000000
21.71,3,2024,77835010000000
21.71,4,2024,2042680000000
21.71,5,2024,23635000000
21.71,6,2024,25491800000000
21.71,7,2024,7949370000000
21.71,8,2024,2306460000000
21.71,9,2024,2899030000000
21.71,10,2024,5549330000000
21.71,11,2024,4793160000000
21.71,12,2024,1479420000000
21.71,13,2024,3990000000
21.71,14,2024,1523530000000
21.71,15,2024,989340000000
21.71,16,2024,1098120000000
21.71,17,2024,250920000000
21.71,1,2025,1061130000000
21.71,2,2025,89980000000
21.71,3,2025,83200480000000
21.71,4,2025,2285790000000
21.71,5,2025,254820000000
21.71,6,2025,27173750000000
21.71,7,2025,8660460000000
21.71,8,2025,2373760000000
21.71,9,2025,2907270000000
21.71,10,2025,5706550000000
21.71,11,2025,5178780000000
21.71,12,2025,1696880000000
21.71,13,2025,4350000000
21.71,14,2025,1650020000000
21.71,15,2025,1042120000000
21.71,16,2025,1122290000000
21.71,17,2025,266310000000
21.72,1,2021,109040000000
21.72,2,2021,990000000
21.72,3,2021,964330000000
21.72,4,2021,36980000000
21.72,5,2021,11150000000
21.72,6,2021,4401930000000
21.72,7,2021,3617340000000
21.72,8,2021,583190000000
21.72,9,2021,149340000000
21.72,10,2021,585180000000
21.72,11,2021,490430000000
21.72,12,2021,493600000000
21.72,13,2021,2050000000
21.72,14,2021,1436300000000
21.72,15,2021,605480000000
21.72,16,2021,394810000000
21.72,17,2021,138060000000
21.72,1,2022,111980000000
21.72,2,2022,1010000000
21.72,3,2022,986170000000
21.72,4,2022,38330000000
21.72,5,2022,11450000000
21.72,6,2022,4424670000000
21.72,7,2022,3789910000000
21.72,8,2022,752330000000
21.72,9,2022,199940000000
21.72,10,2022,609850000000
21.72,11,2022,500140000000
21.72,12,2022,507220000000
21.72,13,2022,2170000000
21.72,14,2022,1484590000000
21.72,15,2022,619240000000
21.72,16,2022,401010000000
21.72,17,2022,157570000000
21.72,1,2023,114560000000
21.72,2,2023,910000000
21.72,3,2023,1013040000000
21.72,4,2023,41020000000
21.72,5,2023,11930000000
21.72,6,2023,4449960000000
21.72,7,2023,4013640000000
21.72,8,2023,836720000000
21.72,9,2023,241260000000
21.72,10,2023,663760000000
21.72,11,2023,533330000000
21.72,12,2023,546920000000
21.72,13,2023,2390000000
21.72,14,2023,1614440000000
21.72,15,2023,639400000000
21.72,16,2023,420090000000
21.72,17,2023,172730000000
21.72,1,2024,116740000000
21.72,2,2024,860000000
21.72,3,2024,1019590000000
21.72,4,2024,43210000000
21.72,5,2024,11780000000
21.72,6,2024,4426050000000
21.72,7,2024,4329700000000
21.72,8,2024,903800000000
21.72,9,2024,254320000000
21.72,10,2024,704760000000
21.72,11,2024,556740000000
21.72,12,2024,572860000000
21.72,13,2024,2430000000
21.72,14,2024,1668820000000
21.72,15,2024,643040000000
21.72,16,2024,448270000000
21.72,17,2024,191770000000
21.72,1,2025,119410000000
21.72,2,2025,790000000
21.72,3,2025,1041290000000
21.72,4,2025,44450000000
21.72,5,2025,13370000000
21.72,6,2025,4273780000000
21.72,7,2025,4773760000000
21.72,8,2025,961680000000
21.72,9,2025,285570000000
21.72,10,2025,739800000000
21.72,11,2025,584160000000
21.72,12,2025,570310000000
21.72,13,2025,2650000000
21.72,14,2025,1622500000000
21.72,15,2025,687300000000
21.72,16,2025,507360000000
21.72,17,2025,193480000000
21.03,1,2021,1711790000000
21.03,2,2021,10486600000000
21.03,3,2021,115980000000
21.03,4,2021,11550000000
21.03,5,2021,1060000000
21.03,6,2021,1064910000000
21.03,7,2021,456690000000
21.03,8,2021,79360000000
21.03,9,2021,72090000000
21.03,10,2021,140380000000
21.03,11,2021,21080000000
21.03,12,2021,110520000000
21.03,13,2021,30000000
21.03,14,2021,289000000000
21.03,15,2021,25920000000
21.03,16,2021,48620000000
21.03,17,2021,9820000000
21.03,1,2022,1768010000000
21.03,2,2022,10385840000000
21.03,3,2022,117370000000
21.03,4,2022,11910000000
21.03,5,2022,1100000000
21.03,6,2022,1070330000000
21.03,7,2022,478210000000
21.03,8,2022,88670000000
21.03,9,2022,74780000000
21.03,10,2022,146320000000
21.03,11,2022,21430000000
21.03,12,2022,114410000000
21.03,13,2022,30000000
21.03,14,2022,296070000000
21.03,15,2022,26730000000
21.03,16,2022,50370000000
21.03,17,2022,10170000000
21.03,1,2023,1838690000000
21.03,2,2023,10362920000000
21.03,3,2023,117400000000
21.03,4,2023,12650000000
21.03,5,2023,1130000000
21.03,6,2023,1113380000000
21.03,7,2023,496470000000
21.03,8,2023,92860000000
21.03,9,2023,77370000000
21.03,10,2023,146440000000
21.03,11,2023,22040000000
21.03,12,2023,118100000000
21.03,13,2023,30000000
21.03,14,2023,298230000000
21.03,15,2023,26890000000
21.03,16,2023,50890000000
21.03,17,2023,10630000000
21.03,1,2024,1860380000000
21.03,2,2024,9728940000000
21.03,3,2024,120960000000
21.03,4,2024,13450000000
21.03,5,2024,1130000000
21.03,6,2024,1122330000000
21.03,7,2024,525960000000
21.03,8,2024,90780000000
21.03,9,2024,79690000000
21.03,10,2024,146460000000
21.03,11,2024,22550000000
21.03,12,2024,126170000000
21.03,13,2024,30000000
21.03,14,2024,327070000000
21.03,15,2024,28070000000
